observed_at,stage,host,port,protocol,decision,reason
2026-07-26T08:08:46Z,probe,127.0.0.1,19716,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19717,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19718,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19719,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19720,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19721,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19722,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19723,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19724,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19725,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19726,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19727,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19728,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19729,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19730,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19731,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19732,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19733,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19734,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19735,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19736,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19737,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19738,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19739,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19740,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19741,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19742,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19743,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19744,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19745,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19746,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19747,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19748,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19749,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19750,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19751,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19752,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19753,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19754,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19755,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19756,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19757,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19758,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19759,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19760,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19761,tcp,deny,out of scope
